Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,
1,0.0002892396,13.34137896908291,1.451764868119767,48.12745313199369,11.617693505956668,0.0019070623000000003,0.005700809,0.06294661,0.4918162,0.06241096,
2,0.0002924186,13.642855830919727,1.0961059192327696,48.11127714807117,11.58690281143247,0.0019290050000000001,0.005737865,0.06320754,0.4925774,0.06174925,
3,0.0002955346,13.938991104132635,0.7724194345928339,48.09519726741033,11.560768076104594,0.0019508229,0.00577303,0.06346693,0.4933291,0.0610919,
4,0.0002985812,14.22977138813988,0.4759565420083618,48.15812809580831,11.536755692242984,0.0019724796,0.005806246,0.06372421,0.4940699,0.06043937,
5,0.0003015484,14.514444857176056,0.2031487356858861,48.17985006875688,11.512943316878346,0.0019939088,0.005837411,0.06397888,0.4947985,0.05979318,
6,0.0003044366,14.793009076632979,-0.04967415467775993,48.23948931751235,11.491338518813423,0.0020151157,0.00586656,0.06423104,0.4955155,0.05915324,
7,0.0003072369,15.064825671815518,-0.2851614296598797,48.33625033269634,11.47199172103906,0.0020360418,0.005893618,0.06448007,0.4962194,0.05852042,
8,0.0003060641,15.04407697246615,-0.2259893936920463,48.30661075632507,11.476516086894069,0.0020284693,0.00587884,0.06439589,0.495982,0.05863355,
9,0.0003048968,15.023279377997776,-0.16633604765419818,48.27701131783289,11.481074390957106,0.002020941,0.005864078,0.06431205,0.4957451,0.05874695,
10,0.000303735,15.00240178906232,-0.10617886269422172,48.24745282585286,11.485666609753356,0.0020134569,0.005849329,0.06422854,0.4955087,0.05886059,
11,0.0003025786,14.981474708925768,-0.045544032243199695,48.17962859902023,11.490292484823158,0.0020060157,0.005834596,0.06414537,0.4952728,0.05897448,
12,0.0003038566,15.07515674814471,-0.11484848050146468,48.23958209660293,11.4716708927034,0.0020147816,0.005850111,0.06423496,0.4955257,0.05877699,
13,0.000302702,15.054373852122701,-0.054881071839190554,48.210039780145024,11.476271345732078,0.0020073456,0.005835415,0.0641519,0.4952901,0.05889064,
14,0.0003015528,15.033541896369076,0.005569786124723919,48.1805574178926,11.48090490535697,0.0019999538000000003,0.005820734,0.06406917,0.495055,0.05900453,
15,0.0003004089,15.01262981568108,0.06652052785429419,48.15110557246392,11.485571450622334,0.0019926036,0.005806068,0.06398678,0.4948204,0.05911866,
16,0.0002992704,14.991698962091924,0.12795983476333106,48.08359571655252,11.490270877944614,0.0019852963,0.005791416,0.06390472,0.4945862,0.05923303,
17,0.0002999257,15.034712913782439,0.10266829893096485,48.11139925506944,11.480601242221677,0.0019894056000000003,0.005801148,0.06393579,0.4946733,0.05917499,
18,0.0002987896,15.01377420166615,0.1641519007200003,48.08198719555136,11.485314070176226,0.0019821178,0.005786498,0.06385391,0.4944394,0.05928959,
