Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,
1,Rd,-0.047884176302280985,0.5514076212001975,-3.3221912868972874,-0.07175663929539539,0.07577442138235102,-0.018882445528931136,-0.06048264377916385,-9.531887419540819e-05,0.0,-0.10172892709870089,Ibias,0.701563686300227,0.3764442100728228,-13.374339125378135,0.1167325424590622,-0.06223532748087797,0.7050582458685184,0.43411382489748,0.26360434660420107,0.09873607254092696,-0.54210029776822,W1,0.027105555394216174,0.022560184878499066,4.204001815055585,-0.08009022732757248,0.018184327384633076,0.010702324722153893,0.22105634481000114,-0.25508919384220813,-0.09950871890758645,-0.020989903055492174,W2,0.22206502844009576,0.04632162105191335,3.7384324658359662,0.013037759484485666,-0.09494009385517664,0.08752729263222202,0.2805391304988421,0.00047659437099908784,0.0,0.4736027133695806,Alo,0.0,0.25251275053293054,3.4797222525165603,0.06811726929371326,-0.2965073760661933,0.0,0.0,0.0,0.0,0.0,
2,Rd,-0.050783363301789675,0.534848524440177,-4.0729430853756465,-0.1555827747541945,0.08012753153687655,-0.02001550021902692,-0.06415278156596871,-9.492538391788701e-05,0.0,-0.10638185888897467,Ibias,0.6940392984577489,0.3630813971334161,-16.451386900823458,0.11645634070474617,-0.036623043818538474,0.7041816895238613,0.42106253806946714,0.2650158509570151,0.09886771094248643,-0.5469540115871789,W1,0.027973596754781015,0.022324866586219575,5.190792941791557,-0.07827091052168628,0.018078449008944963,0.01105233008727613,0.22546713803828064,-0.2565200290978023,-0.09961886192911217,-0.022105531646128492,W2,0.22577223199892124,0.045546014398364615,4.740836373873616,0.013216464863025211,-0.09704500646808915,0.08902517100784722,0.28550689150057873,0.0004746269195016115,0.0,0.4750341097260313,Alo,0.0,0.2464280246676593,4.4491271956330944,-0.016370295620388844,-0.2967806568073389,0.0,0.0,0.0,0.0,0.0,
3,Rd,-0.05376697009420552,0.5194474697104806,-5.399697120475568,-0.07103068196541173,0.08442143588309473,-0.02119105737378957,-0.0680232044524266,-0.00011029366002859829,0.0,-0.11117676811492046,Ibias,0.6864170895725878,0.3500639408162889,-21.83460267716617,0.11623434667471419,-0.03229698784737918,0.7032365675018531,0.40793136359935395,0.2663907014251255,0.09898057909010376,-0.5517752762641172,W1,0.0288629487037988,0.02232739505650745,6.90801512492928,0.006415067742501002,0.018223661477824612,0.011395191229296697,0.22986196156957647,-0.25794535831497023,-0.09975085597018203,-0.023260039383290763,W2,0.2295162732214738,0.04477741119000007,6.472099471969046,0.013482801458882214,-0.0991424190884145,0.09042850583720609,0.2904020938744504,0.0004569308772300983,0.0,0.4763642970672101,Alo,0.0,0.24084713601468336,6.126875907692075,0.06834579880397046,-0.2969075946524621,0.0,0.0,0.0,0.0,0.0,
4,Rd,-0.05696942741204078,0.503934008030388,-8.261208192011162,-0.07124696514463236,0.08869354093382237,-0.022408343285264073,-0.07204310668201941,-0.0001098483606227342,0.0,-0.11614945688546957,Ibias,0.6786428616403237,0.33693485084489766,-33.36746476382595,0.11596439613605616,-0.044417406665861005,0.7021720275332741,0.3947473117742524,0.2677475326881201,0.09909528995795513,-0.5566239356895961,W1,0.029740653463792125,0.02205787802545145,10.56292647920635,-0.07551500041791794,0.018342812749399834,0.011665519886766023,0.23421329375296113,-0.25932059416665293,-0.09988465194904204,-0.024454258871326687,W2,0.23320289422107024,0.04401975044211329,10.142610883881378,0.013665120131948138,-0.10130419654065553,0.09174239368561227,0.2952165650576987,0.00047077868834270194,0.0,0.47756950477809373,Alo,0.0,0.2352518548334006,9.68427148771529,-0.013559568237674093,-0.2969917896817339,0.0,0.0,0.0,0.0,0.0,
5,Rd,-0.06022250491130596,0.48936371691024416,-18.390762652190514,0.00978966348584701,0.09297044767172792,-0.023667080460229247,-0.07623242564211417,-0.000125041263616251,0.0,-0.12121783788719677,Ibias,0.6708044214461153,0.324714299671414,-74.06853638481385,0.115844704886574,-0.03820110615530236,0.7010802098872477,0.3815732693826095,0.26907316914581175,0.09923231376004964,-0.5614185430512302,W1,0.03064184721259104,0.0217868436655202,23.41886823706368,-0.07420039745964567,0.01821522387161078,0.012061735220790754,0.2385304032900926,-0.26066414416757006,-0.10000030315370033,-0.02568854842642419,W2,0.2368773967960084,0.04350693520100207,23.038429952624234,0.013938224110016398,-0.103588331825205,0.09316875475951121,0.29992748497579286,0.0004532745806116213,0.0,0.4786833548575218,Alo,0.0,0.2301534478208129,22.166670144923916,0.06866380580229481,-0.29712199878758616,0.0,0.0,0.0,0.0,0.0,
6,Rd,-0.0636585745603534,0.4750376176788311,72.0383622963545,-0.07062883295028302,0.0972319858021656,-0.02503082081092575,-0.08055828287787112,-0.00012455037315217828,0.0,-0.1264681359803817,Ibias,0.6628637949576387,0.31247745936207916,288.6228574332129,0.19610445446120106,-0.03194410179013736,0.6998307839098443,0.36842715322097663,0.27036772252168445,0.09937126083846094,-0.5662242676817124,W1,0.03150081166325395,0.021516591802957966,-91.05046702186512,0.0066237045503478335,0.018076232753513045,0.012386385555931781,0.2428169148530042,-0.26199170992717347,-0.10011795796498783,-0.026980770622204907,W2,0.2404769991518802,0.04278013831202344,-91.6712849871463,0.09441615891777799,-0.10593105919773971,0.09444618986394755,0.3045225822287778,0.000451495102679347,0.0,0.4796356040683389,Alo,0.0,0.2246581028814212,-88.88084884383095,0.06904418437672372,-0.2971847178736334,0.0,0.0,0.0,0.0,0.0,
7,Rd,-0.06724452694320854,0.46064036047759693,12.116274861022362,0.008976978312319583,0.10148476617419622,-0.02636979260445796,-0.08507507612470584,-0.0001240693442167865,0.0,-0.13183432381380392,Ibias,0.6548367074397596,0.3003156796805555,48.19113556436687,0.1957561461571918,-0.025640915984791218,0.6985760311993565,0.3552826124801472,0.2716343204962385,0.09949228103537293,-0.570997268987472,W1,0.03238543286955264,0.021251535014850966,-15.126902001916164,0.006704181853260564,0.01792659348725865,0.012706025976489333,0.24701295536969742,-0.26327514842959215,-0.10023791895278202,-0.028280726624991967,W2,0.244046206689376,0.04208281099947088,-15.584114342828789,0.014477433103552801,-0.10833226527935945,0.0957740651493564,0.30897828803971134,0.00044975137278854143,0.0,0.48048185573515345,Alo,0.0,0.21928115874713597,-15.21235862763799,0.1492514573732192,-0.2971718785949311,0.0,0.0,0.0,0.0,0.0,
8,Rd,-0.06675072313283638,0.4619655296359447,15.411715790643271,0.008807390511422106,0.10103061438072866,-0.02614779528581433,-0.08443842662837674,-0.00012423153092460542,0.0,-0.13125591065183828,Ibias,0.6563331014646798,0.3018388302301934,61.266151430973444,0.11620337740329992,-0.026906741897047084,0.6985562956264812,0.3581658966734968,0.27121296095138747,0.0994592545697283,-0.5705266012376837,W1,0.03218280092306768,0.021136055093577796,-19.21827889501794,0.006655794154880501,0.018212499877942823,0.012625283508119239,0.24579678984289507,-0.2628428615552802,-0.10018508736203467,-0.028021499636296687,W2,0.2432496983474895,0.04204644727725386,-19.75024438224317,0.014434353256784223,-0.10779090850592368,0.09542663524660967,0.3079689190384503,0.0004503392996043885,0.0,0.480322272828437,Alo,0.0,0.2199084041833028,-19.05848783519612,0.06958742615076804,-0.2968967526420612,0.0,0.0,0.0,0.0,0.0,
9,Rd,-0.06625192524158409,0.4632991210883781,21.123479470518884,-0.07070458824895418,0.10057795287382575,-0.025987893758401957,-0.08383244561207703,-0.00012439348457952265,0.0,-0.1306961467786813,Ibias,0.6578291408765329,0.303168522531101,83.86768004605354,0.11630294510786182,-0.028164113372622205,0.6985211344616206,0.36102862206130926,0.2707890667456533,0.09940592453662486,-0.5700551262661251,W1,0.03197803322305032,0.020814672899443575,-26.27706308220746,0.006583608910397308,0.018494987383395285,0.012543661591315258,0.24455677431303233,-0.2624080557220459,-0.10015227583691919,-0.02778016560859793,W2,0.24247548678767,0.042009678770091624,-26.92797948808734,0.014375690776962964,-0.10725271330688581,0.09513884868486315,0.306919519146914,0.00045092638160346696,0.0,0.48014407556477795,Alo,0.0,0.22013128385177416,-25.71191000086207,0.06959975862704249,-0.29662527003632805,0.0,0.0,0.0,0.0,0.0,
10,Rd,-0.06581394966007373,0.46464381453265713,33.39854598415396,-0.07087454291772224,0.10012672598905445,-0.025826229506077214,-0.08320612501024327,-0.00012455522108944852,0.0,-0.1301040305576273,Ibias,0.6592588934432975,0.3047137108650585,132.42497784121346,0.11644012171554477,-0.0294131100887742,0.6984703769919101,0.36388789209838185,0.2703626767788858,0.09935244325679872,-0.5695661562345795,W1,0.031771116269116675,0.020696563971252406,-41.42708400557303,-0.07288204065607679,0.01877408728391153,0.012461155736668094,0.24334415109834398,-0.2619863381605718,-0.10011933191082201,-0.027505670602349146,W2,0.24165802426455824,0.04197266577297187,-42.32911599210888,-0.06509089718955634,-0.10671768644688125,0.09478226228730402,0.30588123868565753,0.0004515126764519518,0.0,0.47998159719432204,Alo,0.0,0.22076612907084633,-39.96639717541097,-0.009798856671745206,-0.2963574190057245,0.0,0.0,0.0,0.0,0.0,
