Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0008991004037209674,-0.0009921807845426611,0.0,0.0,0.0001291706370061049,-3.609025618444752e-05,0.0,0.0,Ibias,208.7668084376305,55.13426760878252,0.0,0.0,98.84323731450341,54.78930351434074,0.0,0.0,W1,-23778.483882494216,-13933.518606868567,0.0,0.0,-9752.873614408854,-92.09166121701807,0.0,0.0,W2,-10059.253842848317,-2343.09996289077,0.0,0.0,-8160.843094745653,444.68921478764946,0.0,0.0,Alo,-3.026875079803437,-1.1122255738875073,0.0,0.0,-1.9146495059159825,0.0,0.0,0.0,Rbias2,-2.1827974443894087e-06,-1.087961596905719e-06,0.0,0.0,1.2979588456597665e-06,-2.392794693143929e-06,0.0,0.0,Rbias3,1.3981046523995746e-06,7.731922920642436e-07,0.0,0.0,-7.012753714987498e-07,1.326187731833554e-06,0.0,0.0,
2,Rd,-0.0005399812806216777,-0.000583848071490346,0.0,0.0,7.906702825757152e-05,-3.520023738888593e-05,0.0,0.0,Ibias,216.53006281639313,86.15140444390885,0.0,0.0,75.62338042750196,54.75527794498101,0.0,0.0,W1,-18988.06891236375,-11658.653332396174,0.0,0.0,-7261.030635603137,-68.38494436392847,0.0,0.0,W2,-7097.198171049427,-1312.8514832019227,0.0,0.0,-6197.32919491528,412.9825070678634,0.0,0.0,Alo,-2.0010275639926953,-0.5507973126295799,0.0,0.0,-1.4502302513631389,0.0,0.0,0.0,Rbias2,-3.147928018636332e-06,-4.904440131518865e-06,0.0,0.0,4.120819915412427e-06,-2.364307802529894e-06,0.0,0.0,Rbias3,3.4574358066400827e-06,2.949627170814241e-06,0.0,0.0,-8.029193177591299e-07,1.3107279535852348e-06,0.0,0.0,
3,Rd,-0.0009011967925989155,-0.0003214374303973975,0.0,0.0,-0.0005459216041890201,-3.383775801249791e-05,0.0,0.0,Ibias,128.12778202294,107.7720523842459,0.0,0.0,-34.279146086008794,54.63487572469888,0.0,0.0,W1,-22675.103860479376,-10086.962480153275,0.0,0.0,-12534.4805035767,-53.660876749588034,0.0,0.0,W2,-11193.719410993275,-603.8269508448799,0.0,0.0,-10984.101186704906,394.20872655634116,0.0,0.0,Alo,-2.1515205441379166,-0.19317038786664545,0.0,0.0,-1.95835015627126,0.0,0.0,0.0,Rbias2,-1.5214984233666485e-05,-7.531160854628257e-06,0.0,0.0,-5.339448172774773e-06,-2.3443752062639266e-06,0.0,0.0,Rbias3,-1.3646730707932785e-06,4.452748649619875e-06,0.0,0.0,-7.131736575905038e-06,1.314314855492061e-06,0.0,0.0,
4,Rd,-0.0006033242644709518,8.2879665175816e-05,0.0,0.0,-0.0006523286678604697,-3.3875261786310196e-05,0.0,0.0,Ibias,130.058174807558,147.01205383603957,0.0,0.0,-71.0343914306428,54.080512402160544,0.0,0.0,W1,-19747.28791248023,-8036.103416642702,0.0,0.0,-11671.138628829198,-40.04586700833098,0.0,0.0,W2,-9870.98458985403,362.419698723651,0.0,0.0,-10604.553128857387,371.1488402794622,0.0,0.0,Alo,-1.6277923003710963,0.17614298959559696,0.0,0.0,-1.8039352899666932,0.0,0.0,0.0,Rbias2,-1.9664672346799936e-05,-1.1087956342092952e-05,0.0,0.0,-6.272942565248169e-06,-2.3037734394592733e-06,0.0,0.0,Rbias3,-5.180439470794427e-07,6.505587792475877e-06,0.0,0.0,-8.33666511913815e-06,1.3130333795826128e-06,0.0,0.0,
5,Rd,-0.00018471234249140214,0.00024433650795982877,0.0,0.0,-0.0003954708875456516,-3.357796290558721e-05,0.0,0.0,Ibias,169.0698709073841,158.68158544431802,0.0,0.0,-42.96067053405453,53.34895599711958,0.0,0.0,W1,-14424.442252700963,-6551.848041695124,0.0,0.0,-7842.331306034166,-30.262904971634093,0.0,0.0,W2,-8752.686056288654,-946.8636162851005,0.0,0.0,-7948.064446071437,142.24200606792107,0.0,0.0,Alo,-0.9673479911304936,0.3471177144706409,0.0,0.0,-1.3144657056011249,0.0,0.0,0.0,Rbias2,-1.593107673893769e-05,-1.2084939546601904e-05,0.0,0.0,-1.6001508084873567e-06,-2.2459863838485026e-06,0.0,0.0,Rbias3,2.8667759295952575e-06,7.270974234571021e-06,0.0,0.0,-5.730747627662251e-06,1.326549322686401e-06,0.0,0.0,
6,Rd,6.275701458102825e-05,0.0002437520538455827,0.0,0.0,-0.00014862671794003615,-3.236832132451827e-05,0.0,0.0,Ibias,194.07566837796125,151.6981726729576,0.0,0.0,-10.326592562887805,52.704088267893695,0.0,0.0,W1,-10516.615040118735,-5620.588544216932,0.0,0.0,-4874.221351253895,-21.80514464789934,0.0,0.0,W2,-3412.673902979235,782.3723024606045,0.0,0.0,-4529.897274090414,334.85106865062085,0.0,0.0,Alo,-0.47847953926010056,0.43989811339611895,0.0,0.0,-0.9183776526562184,0.0,0.0,0.0,Rbias2,-1.1267818842627319e-05,-1.1694284882818006e-05,0.0,0.0,2.6275479378858126e-06,-2.2010818976948633e-06,0.0,0.0,Rbias3,5.51979750711076e-06,7.401843233340868e-06,0.0,0.0,-3.2435227170688016e-06,1.36147699083889e-06,0.0,0.0,
7,Rd,0.0001186843504861688,0.00013733883204487097,0.0,0.0,1.2176887769175947e-05,-3.083136932788452e-05,0.0,0.0,Ibias,197.82380818383874,132.92630477560377,0.0,0.0,12.595857164197637,52.30164624403617,0.0,0.0,W1,-10788.89956942499,-6716.622347458377,0.0,0.0,-4184.20089616356,111.92367419697672,0.0,0.0,W2,-2002.9535099754885,603.7666590603408,0.0,0.0,-2935.19789086268,328.47772182670946,0.0,0.0,Alo,-0.2481820017446963,0.4519828914370077,0.0,0.0,-0.7001648931817113,0.0,0.0,0.0,Rbias2,-7.750731560507383e-06,-1.0804295148106874e-05,0.0,0.0,5.2295504426999595e-06,-2.1759868551006066e-06,0.0,0.0,Rbias3,6.805841331364965e-06,7.063481086893716e-06,0.0,0.0,-1.6577500192735625e-06,1.4001102637446891e-06,0.0,0.0,
8,Rd,-7.496431912887279e-06,2.3645570652256966e-05,0.0,0.0,-1.7961200395294797e-06,-2.934588252561636e-05,0.0,0.0,Ibias,169.38585735824952,113.05122555472344,0.0,0.0,4.603569621142798,51.73106218238246,0.0,0.0,W1,-5289.041508970455,-4635.949328531592,0.0,0.0,-639.8830894790228,-13.209090959831443,0.0,0.0,W2,-16.974010066598044,404.0147577343612,0.0,0.0,-743.1431869226341,322.15441912168444,0.0,0.0,Alo,0.35271372767762527,0.44374721253055466,0.0,0.0,-0.09103348485293707,0.0,0.0,0.0,Rbias2,-7.098338446011024e-06,-9.83577070870547e-06,0.0,0.0,4.89501597303159e-06,-2.157583710337172e-06,0.0,0.0,Rbias3,7.268473508414706e-06,6.756341011142309e-06,0.0,0.0,-9.407724299682246e-07,1.4529049272405418e-06,0.0,0.0,
9,Rd,-0.00025398087919206936,-0.00018807646236860772,0.0,0.0,-3.787240213631262e-05,-2.8032014687153737e-05,0.0,0.0,Ibias,129.54772661829975,82.63931107571722,0.0,0.0,-4.20219043574446,51.11060597832492,0.0,0.0,W1,-7509.040888784366,-4536.024040509244,0.0,0.0,-2958.706742684032,-14.310105591069563,0.0,0.0,W2,-3271.550873026876,-20.182309433884647,0.0,0.0,-3569.9037917519827,318.5352281590079,0.0,0.0,Alo,-0.4886100240318379,0.30638206386773137,0.0,0.0,-0.7949920878995759,0.0,0.0,0.0,Rbias2,-5.670226826002549e-06,-7.725894025772728e-06,0.0,0.0,4.194125582286482e-06,-2.1384583825164038e-06,0.0,0.0,Rbias3,4.394677956457241e-06,5.659298672851394e-06,0.0,0.0,-2.7670466306692275e-06,1.5024259142751038e-06,0.0,0.0,
10,Rd,-0.00014428705408390207,-0.00011676387928763414,0.0,0.0,0.0,-2.7523174796267928e-05,0.0,0.0,Ibias,139.4306741358257,88.79531746593531,0.0,0.0,0.0,50.63535666989113,0.0,0.0,W1,-4092.062884635466,-4082.379944619318,0.0,0.0,0.0,-9.682940016176657,0.0,0.0,W2,426.2277713660483,115.96579364634283,0.0,0.0,0.0,310.26197771970544,0.0,0.0,Alo,0.383232650869204,0.383232650869204,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.0456423981726685e-05,-8.329785120034596e-06,0.0,0.0,0.0,-2.12663886169209e-06,0.0,0.0,Rbias3,7.766429753210433e-06,6.237417584899333e-06,0.0,0.0,0.0,1.5290121683110527e-06,0.0,0.0,
