Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
-40.0,0.7280115,0.50774,0.1894906,0.001347201,1.0,0.001347201,0.000707646,0.01882333,0.002182734,0.4859377,0.03560574,1.2433630000000001e-13,7.660104e-14,13.32565,1000000000.0,-16.0249,3.238648,-4.375263884816185
-26.666666666666664,0.7269917,0.4981281,0.1902003,0.001349854,1.0,0.001349854,0.0007101497,0.01814322,0.002113268,0.4757887,0.03768129,1.257125e-13,7.649208e-14,13.13512,1000000000.0,-15.8891,3.383013,-4.304485949271921
-13.333333333333332,0.7260121,0.48868,0.190882,0.001352402,1.0,0.001352402,0.0007132685,0.01749845,0.002048466,0.4656341,0.03975866,1.2707470000000002e-13,7.638521e-14,12.94381,1000000000.0,-15.7349,3.530241,-4.221233106589025
0.0,0.7249781,0.4793728,0.1916018,0.001355092,1.0,0.001355092,0.0007153906,0.01685948,0.00198457,0.4554955,0.04183178,1.283663e-13,7.628434e-14,12.74372,1000000000.0,-15.5592,3.683474,-4.128320228446533
13.333333333333336,0.7239758,0.4701892,0.1922994,0.001357699,1.0,0.001357699,0.0007180429,0.01626446,0.00192574,0.4453531,0.04390356,1.296282e-13,7.618645e-14,12.54733,1000000000.0,-15.3723,3.83743,-4.027801753249712
26.66666666666667,0.7229754,0.4611162,0.1929958,0.001360301,1.0,0.001360301,0.0007207332,0.01570311,0.00187067,0.4352138,0.04597097,1.308441e-13,7.609263e-14,12.35267,1000000000.0,-15.1759,3.992678,-3.9212725964016286
40.0,0.7219722,0.4521435,0.1936941,0.001362911,1.0,0.001362911,0.0007234188,0.01517412,0.001819138,0.4250786,0.04803214,1.3201220000000002e-13,7.600293e-14,12.16041,1000000000.0,-14.9732,4.148717,-3.809966335773325
53.33333333333334,0.7209617,0.4432631,0.1943976,0.001365539,1.0,0.001365539,0.0007260592,0.01467555,0.001770888,0.4149488,0.05008509,1.33132e-13,7.591733999999999e-14,11.97089,1000000000.0,-14.7666,4.30518,-3.694860834301309
66.66666666666667,0.7199419,0.4344683,0.1951075,0.001368192,1.0,0.001368192,0.0007286604,0.014206,0.001725747,0.4048247,0.05212784,1.34205e-13,7.583571e-14,11.78458,1000000000.0,-14.5585,4.461648,-3.5767409497080536
80.0,0.7189367,0.4257537,0.1958073,0.001370807,1.0,0.001370807,0.0007315845,0.01377025,0.001684285,0.3947006,0.05415969,1.352434e-13,7.575713000000001e-14,11.60451,1000000000.0,-14.3535,4.616509,-3.4562551841434157
93.33333333333334,0.7178737,0.4171151,0.1965473,0.001373572,1.0,0.001373572,0.0007338584,0.01334892,0.001644244,0.3845943,0.05617447,1.362198e-13,7.56835e-14,11.42354,1000000000.0,-14.1457,4.772966,-3.3339334223447707
106.66666666666669,0.7168238,0.4085558,0.1972782,0.001376303,1.0,0.001376303,0.0007365865,0.01295992,0.001607759,0.3744883,0.05817415,1.371694e-13,7.561235e-14,11.2501,1000000000.0,-13.9447,4.926848,-3.2102083375368693
120.0,0.7157585,0.4000703,0.1980199,0.001379074,1.0,0.001379074,0.0007393623,0.0125941,0.001573777,0.3643899,0.06015443,1.3808160000000002e-13,7.554438e-14,11.0812,1000000000.0,-13.7482,5.079421,-3.0854372018733898
