Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0008006542244144606,0.0029375986475562448,-0.04255097641308696,-0.040803878862988335,0.00020737349721923525,-0.0004511337475798803,-0.0006654677633404734,-0.0001075733136510828,0.0,-0.0019133819876757945,0.0,-0.0011382678210055727,0.0005342943324728144,0.0,Ibias,0.008317669910672008,-0.0028948846112387392,-0.015803883256591555,-0.03738227611876106,0.001324616647487281,0.008970381249248387,0.003839335067158181,0.0031134297104896498,0.0019247771138795433,-0.004031752083167716,0.0,0.005575337288874332,0.00953578384917272,0.0,W1,-0.00013272877517037785,0.005005485182685843,-0.004718824969503835,0.0011636865804763364,-0.001625029639255206,-7.482022028507953e-05,0.004580583370056198,-0.003909512863543663,-0.002067045953457386,6.417851973679502e-05,0.0,-8.972015468126774e-05,0.002002576257672277,0.0,W2,0.0009319558084537978,0.0006553487338163836,-0.0006687258753317068,-0.00963493202399798,-0.0016126000082499735,0.0005255517086163264,0.0007743624882508732,0.00012534982912704992,2.0738897898232066e-07,0.0022294851445884938,0.0,0.0031655808111244826,-0.000617520949646632,0.0,Alo,0.0,0.002049064880944399,-0.006143342645520936,-0.019778619932251794,-0.0028123287308803742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0029706983388922093,0.0013631296922482362,0.013100017210151253,0.035783567365632395,0.0005970306157764877,-0.0017035679188594835,-0.0024727381100970317,-0.00039880342719028053,-2.0738897898232066e-07,-0.0070965158726889865,0.0,-0.0017164643733953708,0.002002918754039215,0.0,Rbias3,0.0029557128320181394,-0.001471329704843808,-0.010524812655602341,-0.023461210999271193,-0.00020877573004562304,0.0016142663656159228,0.0024517233386231337,0.00039768604621753524,4.147779579646413e-07,0.0070744844405405604,0.0,0.001691995240300494,-0.0019395569261500321,0.0,
2,Rd,-0.000813303329199581,0.0015611331222554706,-0.015001855462528316,-0.03597571380619276,-0.0015388126682025736,-0.00045869874820430315,-0.000672085787351322,-0.00011182486525104721,0.0,-0.0019070938059828825,0.0,-0.0011325277359342245,0.0004519275088897406,0.0,Ibias,0.008293351409994208,-0.0033056645670198836,-0.011950134313979528,-0.03768210023731526,-0.0006102314761349242,0.00895401416085375,0.004060596302966564,0.0030573863158495102,0.0018666613687750434,-0.003978567534105197,0.0,0.005655308403062542,0.009273510957684946,0.0,W1,-0.00011493125354125765,0.004365493093730527,-0.016265157852018573,-0.02220913142691242,-0.0031484095447555298,-6.479145611153107e-05,0.004357012968697257,-0.0038546503551463622,-0.0020108034717534126,5.543043886094509e-05,0.0,-7.880047353587774e-05,0.0020866178243532122,0.0,W2,0.0009392152757545884,0.00029069926079889474,-0.0100062619285043,-0.0268818803441096,-0.003069078101071788,0.0005292677863896632,0.0007750515764999974,0.00012914984437436267,2.1135205715905544e-07,0.002201448550279032,0.0,0.0030887953056907957,-0.0005166368842055074,0.0,Alo,0.0,0.0007230483359489688,-0.007401911169901028,-0.019998201366594248,-0.004254309751387648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0030277430869215948,0.001965379156305475,-0.007797374516533886,-0.013680588161623354,-0.000808709935562259,-0.0017371951242159433,-0.0025042527991093358,-0.00041611449858201696,-2.1135205715905544e-07,-0.0070927069311462875,0.0,-0.0018023317609891058,0.0016990536513389295,0.0,Rbias3,0.003013834209104676,-0.002063196739465532,-0.01147442193178448,-0.027724800609958654,-0.0019178725206023175,0.0016457855221222967,0.002484907711451134,0.0004148545001002497,4.227041143181109e-07,0.007071203743657173,0.0,0.001779424646588962,-0.0016423031831475738,0.0,
3,Rd,-0.000860175505464376,-0.0003956230927199263,-0.014614962925192888,-0.028352310979071014,-0.002023260079944609,-0.0004844441233378241,-0.0007091879977118549,-0.0001204780323653935,-2.161079986819045e-07,-0.0019747867456197826,0.0,-0.0011877049225295388,0.0003864221722129671,0.0,Ibias,0.008228765158739501,-0.004205097305725144,-0.011526576265497475,-0.030463343530109883,-0.0013202110732868642,0.008919200984590762,0.00429286349628502,0.0029816947665565227,0.00180017962896844,-0.004005323129227237,0.0,0.005677028378741547,0.009076642679285008,0.0,W1,-9.714050966881955e-05,0.0036645228037626514,-0.01758315260826453,-0.0183863045108786,-0.003458093577305891,-5.449996387561388e-05,0.004082023821289384,-0.0037951126333068035,-0.001950374688048165,4.709883209303122e-05,0.0,-6.674554222074935e-05,0.0021354188949832993,0.0,W2,0.0009432269335781956,-0.00017314466525357935,-0.009681023570668745,-0.020206620799190844,-0.0032918595278171275,0.000531426850816608,0.0007780702778951323,0.00013227461214370217,0.0,0.0021665462762846385,0.0,0.003000806432441568,-0.00041928003628044323,0.0,Alo,0.0,-0.0006701386328084011,-0.00594028344497821,-0.0031743814615906615,-0.004459352965965544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003101822533928771,0.0028064539571305276,-0.012537554714394777,-0.017389808406201857,-0.0010316427431506189,-0.0017769911593125058,-0.0025606238937654143,-0.0004341796723959275,-4.32215997363809e-07,-0.0071157684486846135,0.0,-0.0018771040846442743,0.0014087809219027404,0.0,Rbias3,0.003087733452373771,-0.0028759399437213737,-0.010922535617687693,-0.019967060888813528,-0.002394623439515488,0.0016863666983085012,0.002542055626933644,0.00043297816889986375,2.161079986819045e-07,0.007093180233293021,0.0,0.0018542460222399125,-0.0013570982398794771,0.0,
4,Rd,-0.0008921724323246924,-0.001146591260805528,-0.014842054394896661,0.005618780956868865,-0.0013151639943204032,-0.0005009340597866832,-0.0007386116191969797,-0.00012546469297613594,-2.2058864079428578e-07,-0.002015490540292252,0.0,-0.0011957590412668656,0.00033615571111314383,0.0,Ibias,0.00817598289927367,-0.0042950318671110535,-0.011408444132704124,0.008630873051314578,-0.0008240546948561891,0.00889306286849588,0.004510060099294395,0.002908602828128502,0.001742870850865447,-0.004030003636093548,0.0,0.005750638883518432,0.00898489429864366,0.0,W1,-8.302789133309376e-05,0.003174702399985187,-0.014826568584556459,0.00438565293681307,-0.0026929576083632835,-4.640632787365086e-05,0.0038196440495890556,-0.003726505573479662,-0.0018975034880579554,4.056394637356671e-05,0.0,-5.7726298543897925e-05,0.0021173751582282316,0.0,W2,0.00038570229519293507,0.0004534585484518601,-0.006110765380294481,0.0015186368662076192,-0.002697470301006141,0.00021656286341024814,0.0003193682315709178,5.4337782943636666e-05,0.0,0.000871880485907182,0.0,0.00302833994742339,-0.0001444049181541645,0.0,Alo,0.0,-0.0013363417264141558,-0.004584784903216042,-0.012546580924022006,-0.003586205223351615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0032177081886635302,0.0030578052989317984,-0.010070468401800845,0.011712551432311856,-0.00028692698134475785,-0.0018371820212987142,-0.0026681764073976984,-0.00045251235106882377,-4.4117728158857156e-07,-0.007267299790044867,0.0,-0.002014006415865713,0.0012286254511807717,0.0,Rbias3,0.003203367007433288,-0.0031009996111786807,-0.009588838432480927,-0.0007854318268124567,-0.0017320703074467435,0.0017471240790779944,0.0026495949830152945,0.00045126451054196265,2.205886406718345e-07,0.007244818566753569,0.0,0.001990182864085823,-0.0011792504674559454,0.0,
5,Rd,-0.0008891918268708356,-0.0011093948559521142,0.4992094651113635,-0.09662677507375797,-0.0005127999646163101,-0.000497126582371606,-0.0007420352968139862,-0.00012402846811232086,-2.244584267144933e-07,-0.001986110209644985,0.0,-0.0011292240789015557,0.0002934850031518849,0.0,Ibias,0.008155314237913039,-0.0038890123562148695,-0.04023739150382608,-0.09144730012913439,-0.00020069162558647793,0.00888462203006935,0.004707769883108026,0.0028467877624148486,0.0016991502901798712,-0.00400017973848052,0.0,0.0059020901734402114,0.008948263507798654,0.0,W1,-6.661193128114588e-05,0.0028447062432190905,-0.015365814587112388,0.0009319494141961974,-0.0018701399799370593,-3.745770851494117e-05,0.00360130644052256,-0.0036349611023491777,-0.0018502108113543643,3.245278120331229e-05,0.0,-4.805208846393009e-05,0.0020533853259516724,0.0,W2,0.0009697457902810075,-0.00037538961986618367,-0.015743136410885074,0.010453190181744678,-0.001647670555418724,0.0005423789585544245,0.0008090763236306946,0.0001354104561981842,0.0,0.0021678457843837,0.0,0.002832300983496891,-0.0003167080137225767,0.0,Alo,0.0,-0.0017039937815295214,-0.03497054438791702,-0.09642516758805239,-0.0026968106110424246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00336390252970425,0.0029610343769767462,0.00763287937764008,-0.008489835773002634,0.0005043519022325711,-0.0019127248382714932,-0.002809993123997261,-0.00046924299335964994,-4.489168534289866e-07,-0.007512069938239835,0.0,-0.002217788698333743,0.0011278305568372957,0.0,Rbias3,0.003350735054916136,-0.003018090404075357,-0.030937902388437577,0.02127744714669587,-0.0010025880887551528,0.0018220035673596412,0.002791657116662967,0.0004680695925260088,2.244584267144933e-07,0.007491100448846992,0.0,0.0021928385754773176,-0.0010776823166199433,0.0,
6,Rd,-0.0008637854181876281,-0.0006016027880420409,2.6199941371728305e-05,-0.0007286133780123538,4.2302396739468456e-05,-0.000481093683350816,-0.0007254932724384332,-0.00011960208446593324,-2.2728233512342923e-07,-0.001917174403356471,0.0,-0.0010411966820532397,0.0002626827242328304,0.0,Ibias,0.008159388710603172,-0.0032423256511799245,0.002278502970946083,0.0061274625306547365,0.0002436607673491481,0.008889148034078373,0.004868306079141075,0.0028015736509035354,0.001668252339757901,-0.003943712695468909,0.0,0.0060473828911687295,0.008941016741037157,0.0,W1,0.00037098986624459115,0.003480923301685525,-0.00470114869282591,-0.00015345706475834966,-0.0017197615404525952,0.00020662641146687087,0.004090132947930586,-0.0009879492786190765,-0.0010720907747464308,-0.00017956024525990515,0.0,0.00027671443351863766,6.626230881550723e-05,0.0,W2,0.000994348375406576,-0.00028576248333919295,0.004267711376225483,-0.000517395666352454,-0.001101756575925,0.0005535902890908815,0.0008342886329461253,0.0001376325494608252,0.0,0.002208641883622558,0.0,0.0027849666207352556,-0.00029885653567804127,0.0,Alo,0.0,-0.0017402870717115346,0.007122550459963477,-0.006690768578155209,-0.002138018255540537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0034925591056119065,0.0027113611722232207,-0.0029772731453741284,0.005946544640180509,0.001040800445753121,-0.0019784700600102437,-0.00293632951938795,-0.0004832164618626711,-4.5456467024685845e-07,-0.00775211937043023,0.0,-0.002400380458895614,0.001080819394301618,0.0,Rbias3,0.0034790251405341865,-0.002744211312666889,0.0036723414904194984,-0.006776482680548578,-0.0005107754152542287,0.0018860202600301337,0.0029174334830892497,0.00048213463396288084,2.2728233512342923e-07,0.007732281269679123,0.0,0.002377868098202704,-0.001028418078656733,0.0,
7,Rd,-0.000842984147465602,-9.949320375519145e-05,0.017767643111582736,-0.013945235699000141,-6.2839760138394465e-06,-0.00046748882519715606,-0.0007144590870800724,-0.00011555540065782769,-2.3064400882092375e-07,-0.0018643748091596098,0.0,-0.0009718730749069621,0.00023585433907512838,0.0,Ibias,0.008153224475925659,-0.0026099047733987163,0.014752794276785977,-0.00717138931489276,8.836894019996152e-05,0.008886837448334626,0.005049757991975829,0.0027424324498350164,0.0016322676503786892,-0.003912685981547998,0.0,0.006164124108956985,0.00895432027458203,0.0,W1,-4.8428495326611776e-05,0.0024896489170662477,-0.004596206854899288,-6.497621170967187e-05,-0.0012729695631728943,-2.729861752959963e-05,0.003240480303830698,-0.003521164620470946,-0.0017911813724518246,2.2926912130461148e-05,0.0,-3.6349583510248475e-05,0.0019513128772397214,0.0,W2,0.0010169984018595592,-0.00018682061167006839,0.004679529383275701,-0.0003423077526783273,-0.001175665054331658,0.000563261475030839,0.0008600922343264351,0.0001394080127721765,0.0,0.002246837388791411,0.0,0.0027415238510661716,-0.000280310336799921,0.0,Alo,0.0,-0.0016750760560556568,0.021696842240336012,-0.02562768022432484,-0.0022222188293405465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0036345996153629256,0.0024269939895365127,-0.0017596518009033613,0.006892770952606011,0.0010043150304217313,-0.0020505811534439135,-0.0030828538385757696,-0.0004980623151346182,-4.612880176418475e-07,-0.008032756304640324,0.0,-0.002585603269166664,0.0010364016568852718,0.0,Rbias3,0.003623108107997099,-0.0024678970619353433,0.012837744856372913,-0.013778360283770191,-0.0006237562209586916,0.0019554909690487074,0.0030640071959907385,0.0004973207831516635,4.6128801751381434e-07,0.00801399792198797,0.0,0.0025645587734503,-0.0009814255375612455,0.0,
8,Rd,-0.0008276523724908913,0.000771006266283844,-0.011751357866761201,0.11575421647603298,-0.00013172802864242752,-0.0004558853542583304,-0.0007070605041775352,-0.0001118369986412242,0.0,-0.001836874601014442,0.0,-0.0009228569698649982,0.0002426545796700606,0.0,Ibias,0.008155754041983881,-0.0018309209166434204,-0.00662453163388252,0.12965092753807786,-7.899334564419169e-05,0.008891742471084789,0.005145668893666738,0.0027127061892678684,0.0016146358946086746,-0.003928349562543026,0.0,0.006252966325974701,0.009055350158066772,0.0,W1,-5.5739853657509836e-05,0.0024531728049529333,-0.005098735438842299,0.010868756223466806,-0.0013576461596325586,-3.071815557021623e-05,0.0031260732168367565,-0.0034901678835268075,-0.0017766340547558392,2.626403718988805e-05,0.0,-4.101586532726173e-05,0.0018726380853017078,0.0,W2,0.0010362545520879746,9.1161119563823e-06,-0.001231659055648654,0.1334465788965045,-0.001368129419600406,0.0005715438642463491,0.0008854129089045817,0.00014007866496509646,2.3242203752052998e-07,0.002303195261324517,0.0,0.0027138830891587024,-0.0003003319692118702,0.0,Alo,0.0,-0.001100367479060438,-0.0030524346650755902,0.06795949238997773,-0.002422529618537936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003759061948935482,0.0018856332824682828,-0.003304888436154967,0.009793443803079156,0.0008685239494447248,-0.002109080635856541,-0.003214960823076077,-0.0005073458456885312,-4.6484407504105996e-07,-0.008340171809683291,0.0,-0.002736344158266565,0.0011248797392298924,0.0,Rbias3,0.003746393800377024,-0.0019593534373040264,-0.00448971564241839,0.0917698569594079,-0.000812827758272971,0.002011108336651564,0.0031959134788819227,0.0005064672160696894,4.6484407504105996e-07,0.008324091786913963,0.0,0.002715836225603019,-0.0010641307727303707,0.0,
9,Rd,-0.0008355723928253502,0.00047624793360492894,-0.017124881986035862,-0.01578575390526626,-0.0005961247848749523,-0.00045899665264854424,-0.0007170332748253377,-0.00011158452066775306,0.0,-0.0018456878908100233,0.0,-0.0009178983279871496,0.000227733121327926,0.0,Ibias,0.008126670715847117,-0.0019146433541007756,-0.013047396073130428,0.021113805316325424,-0.0006263425098728872,0.008876764231548324,0.005245604005734112,0.0026653600699399474,0.0015932990822155391,-0.0039374312891353215,0.0,0.006287406572821645,0.009049323312166986,0.0,W1,-4.032022840120951e-05,0.0022838532710368156,-0.011444227865805913,0.02022994749358286,-0.0017775522883467319,-2.2160084925184846e-05,0.0030048750219046575,-0.003429304552034162,-0.0017552817500701755,1.901091117662126e-05,0.0,-2.954608351889453e-05,0.0018392517807843882,0.0,W2,0.001044894429631847,-5.247020932842049e-05,-0.007926333254703193,4.2116147565451525e-05,-0.0018017066808639927,0.0005740404977908084,0.0008968661394252075,0.00013973657863429757,2.3475748965101085e-07,0.0023095541235208785,0.0,0.0026768751668122545,-0.0002809163053505569,0.0,Alo,0.0,-0.001384870173061213,-0.009307575601916607,-0.02967486832985943,-0.0028637036186221956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0038347110841164965,0.00201795620204626,0.0025608474393837123,0.04160552915523603,0.00043318508467545615,-0.0021464635451280867,-0.003296169789802245,-0.0005122394910926435,-4.695149793020217e-07,-0.008470175682546117,0.0,-0.0028295299316600186,0.0010687774481481106,0.0,Rbias3,0.0038227008033163146,-0.002095092592239442,-0.011185189280527353,-0.015596548166108854,-0.0013042631321914802,0.0020472146541339413,0.003277784321217287,0.0005115996715933837,4.695149793020217e-07,0.00845442378471386,0.0,0.0028098325426473654,-0.001006730400121634,0.0,
10,Rd,-0.0008276584877483248,0.0015010435831331024,-0.011170799924493668,-0.021521518373191217,-0.0002676617117474852,-0.0004508936978323033,-0.0007197580586363427,-0.00010781138981856347,0.0,-0.0018506450601161975,0.0,-0.0008838455289794005,0.00026304647393184577,0.0,Ibias,0.008121675534857646,-0.0010358198417427672,-0.008946784667639646,-0.029601705670204266,-0.00035060186241676753,0.008880435770674946,0.005318277130183452,0.0026369626803730466,0.0015785898025651639,-0.004018332899455474,0.0,0.006358906448450946,0.009252002957311078,0.0,W1,-5.576736334563122e-05,0.002255170400109103,-0.008632046481166226,-0.010148601199798999,-0.0014792786098193976,-3.0381072688066354e-05,0.0028930307705319347,-0.0033957989928077212,-0.0017433512719254541,2.722370912827556e-05,0.0,-4.186211989574794e-05,0.0017133844255334285,0.0,W2,0.0010728578472204407,0.0001585157311017329,-0.004659400755878877,-0.02015710421748566,-0.0015918960921338608,0.0005844739698103769,0.0009320691877640414,0.00013976512704224554,2.3638661314923125e-07,0.002399089366929697,0.0,0.0026558741077946845,-0.0003367404277183555,0.0,Alo,0.0,-0.0005897875904913865,-0.0042218521411602076,-0.0100126944648661,-0.0026098013362431593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0039878090773333265,0.0012871606284740379,0.0022957920318071906,0.020982432856910805,0.0006282028716224064,-0.0022137192726191545,-0.0034698871076401278,-0.0005190533900186354,-4.727732262984625e-07,-0.008910093133443188,0.0,-0.0030013626876570286,0.0012951030026532966,0.0,Rbias3,0.003976301526166877,-0.0014020102950046953,-0.0068349915183235875,-0.020019286795137436,-0.0010604692203943296,0.002112207910700869,0.003450639120658577,0.0005185338170559272,4.727732262984625e-07,0.008897048439485983,0.0,0.0029814907897787735,-0.0012220914002909675,0.0,
